Title,Company,Location,Experience,PostDay,Desc
Data Scientist,Calsoft,"Pune(Pune Mumbai Highway), Bengaluru",5-7 Yrs,2 Days Ago,"Experience with large scale training and inference, and machine learning pipelines in p..."
Lead Data Scientist /  Lead Machine learning Engineer,Atyeti,Hybrid - Pune(Kharadi),8-12 Yrs,Few Hours Ago,"Experience in designing ML pipelines, including model versioning, model deployment, mod..."
Data Scientist / Data Analyst,.,Remote,3-5 Yrs,Just Now,"Key Responsibilities:Data Analysis:Collect, clean, and preprocess data for analysis.Pe..."
Data Scientist - BLR/ HYD/ GGN,Genpact,"Hybrid - Hyderabad, Gurugram, Bengaluru",6-11 Yrs,6 Days Ago,"Furthermore, please do note that Genpact does not charge fees to process job applicatio..."
Data Scientist: Artificial Intelligence,IBM,Bengaluru,5-7 Yrs,7 Days Ago,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,Johnson and Johnson Kenvue,Bengaluru,4-6 Yrs,3 Days Ago,Required Qualifications: . Strong knowledge and understanding of Probability & Statisti...
Data Scientist III,Walmart,Bengaluru,4-9 Yrs,5 Days Ago,Develop and recommend process standards and best practices in Machine Learning as appli...
Data Scientist I,Honeywell,Bengaluru,3-6 Yrs,5 Days Ago,. B Tech /BE (Computer Science Stream is preferred) with 4+ years of professional exper...
Data Scientist,Johnson and Johnson Kenvue,Bengaluru,3-5 Yrs,5 Days Ago,Create Proof of concepts POCs Minimum Viable Products MVPs then guide them through to p...
Data Scientist,Hexaware Technologies,Hybrid - Bengaluru,9-14 Yrs,7 Days Ago,Looking for Data Scientist candidates who is having good experience in below skills.Mac...
Lead Data Scientist - Machine Learning/Artificial Intelligence,Tetrahed Inc,Bengaluru,7-10 Yrs,2 Days Ago,We are seeking a highly skilled Lead Data Scientist with 7-10 years of experience in Da...
Data Scientist,Soul Ai,Remote,0 Yrs,5 Days Ago,"These are project-based part-time roles that offer flexible hours, with an anticipated ..."
Data Scientist - Phd only,NDS Infoserv,Mumbai,0-2 Yrs,4 Days Ago,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai..."
Data Scientist,IBM,Pune,10-15 Yrs,5 Days Ago,"Demonstrated experience in AI projects, including familiarity with AI and machine learn..."
Data Scientist,AXA Global Business Services,"Hybrid - Pune, Bengaluru",4-9 Yrs,2 Days Ago,Expertise is required in the following fields: . Sound knowledge and practice of machin...
Data Scientist: Artificial Intelligence,IBM,Gurugram,5-8 Yrs,3 Days Ago,Required Technical and Professional Expertise . 5+ years of experience of Data Scientis...
